"id","imagen","precioVenta","nombre","precioCompra","peso","stock","categoria"
"06ZGKiNyOvj4YooxkX3R","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1707831591327.jpg?alt=media&token=30dddf6e-c3fe-44a9-937a-ca19837eb202","17.5","Kris Fruit 1500 Lt x 6 und","14.88","6","0","frugos"
"3lJznPHzz1jwtTUZuoCJ","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-13%2008%3A08%3A29.976942.jpg?alt=media&token=981ac553-8d54-4d59-922f-c355c9736995","20","360 Maracuya 300ML x 12und","17","3.6","4","frugos"
"5MMPlfFA4mo6gB8ivAjB","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-06%2006%3A35%3A23.731272.jpg?alt=media&token=d635d559-657b-4a71-8c0c-8e2a241b6d05","12.5","KRIS SURTIDO-RED,GREEN,FRUIT-400ML. x15und","10.62","6","0","frugos"
"8Ak55QAeOs8g2BF5Jydt","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-25%2020%3A46%3A23.781414.jpg?alt=media&token=15c2113e-d0ea-420e-aa45-ecd9878957c7","26.5","Fruvi Durazno 1LT x 6 und ","21.36","3.6","0","frugos"
"8AoPLc12ITQxETBXfvek","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-12-12%2008%3A12%3A51.942317.jpg?alt=media&token=ceaaad63-c3a7-4a62-8342-7c85cb304891","20","Fruvi Mango 300ml","16.53","3.6","0","gaseosa"
"8SDA9mv8c8v7kPNCZI4f","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-29%2008%3A22%3A15.132402.jpg?alt=media&token=b3055d23-c882-4ffc-9882-0e9bf8a0442b","30","KERO ALOE SURTIDO-UVA,PIÑA.300ML x12und","25.2","3.6","0","frugos"
"8qglqUfgc1P5BW6maA1G","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-10-24%2018%3A46%3A22.387804.jpg?alt=media&token=122aea11-42c1-40b0-8c06-bfed56b21bd9","30","KERO ALOE UVA 300ML x12UND","25.2","3.6","21","frugos"
"8x9iDj1HWcuWNHjweirC","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-06%2006%3A56%3A39.938554.jpg?alt=media&token=30fc2a0c-0917-4003-80ed-3ab328de0bb2","12.5","KRIS FRUIT PUNCH 350 ML X 15 UND","10.62","10.62","45","frugos"
"AQp0N0bpk2nCfo7Xx0Ff","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/product_images%2F2023-11-13%2008%3A09%3A09.418663.jpg?alt=media&token=320d0590-bd55-4c8e-bffe-ca6963cc8baf","6.5","PAPAS BBQ Y CEBOLLA 135G- FAMILIAR","5.67","0.135","59","frugos"
"AZmImc1oBNRsIKCq72fj","https://firebasestorage.googleapis.com/v0/b/ristos-7ad7f.appspot.com/o/productos%2F1703079236467.jpg?alt=media&token=025728f0-c974-4a65-8049-b3630f20814a","22.5","COOL FRESH 2LT MIX -COLA ,PIÑA Y AMARILLO X 6 UND","19.35","12","0","frugos"
